tut_5b_20;Should a faction rise in revolt a number of rebel armies will spawn, the strength of these will be decided based on the membership count and organization. Just beware, if a single pop's militancy gets too high it will rise with or without the support of its faction and this might in turn increase the risk of a general rising. To get rid of a faction you must either defeat it in battle or address the concerns of your militant pops. To learn more about what different pops want you must check the Population screen, for now just click next.;Si la faction lève un certains nombre de rebelles, des armées se forment. La force de celles-ci dépend du nombre d'adhérents et de l'organisation. Attention : lorsque le militantisme d'un seul POP atteint un niveau trop élevé, il grimpe avec ou sans le soutien de sa faction, ce qui peut augmenter le risque de soulèvement général. Pour vous débarrasser d'une faction, vous devez la vaincre au combat ou répondre aux inquiétudes des POP militants. Pour en savoir plus sur ce que souhaitent les différents POP, consultez l'écran Population. Pour le moment, cliquez sur Suivant.;Wenn sich eine Fraktion zum Aufstand erhebt, entstehen einige Rebellenarmeen, deren Stärke von der Mitgliedschaft und der Organisation bestimmt werden. Passen Sie auf, wenn die Militanz einer Bev zu groß wird, denn sie könnte sich mit oder ohne Unterstützung ihrer Fraktion erheben, was wiederum den Ausbruch eines allgemeinen Aufstands begünstigen würde. Solchen Fraktionen können Sie sich entledigen, indem Sie sich im Gefecht schlagen oder indem Sie sich um die Bedürfnisse Ihrer militanten Bevs kümmern. Mehr Informationen über die Bedürfnisse verschiedener Bevs erhalten Sie im Informationsbildschirm. Klicken Sie zunächst aber auf Weiter.;;Si una facción se rebela, aparecerán una serie de ejércitos rebeldes, cuya fuerza se determinará en función del Recuento de miembros y la Organización. Ten cuidado. Si la militancia de una sola población se vuelve demasiado alta, se rebelará tenga o no el apoyo de su facción. Esto puede llegar a aumentar el riesgo de un levantamiento general. Para deshacerte de una facción, tendrás que derrotarlos en combate o resolver los problemas de las poblaciones militantes. Para saber más sobre lo que quieren las diferentes poblaciones, comprueba la pantalla de población. Por ahora, haz clic en Siguiente.;;;;;;;;;x;
######################################################################;;;;;;;;;;;;;;x;
##### People - Medium;;;;;;;;;;;;;;x;
######################################################################;;;;;;;;;;;;;;x;
tut_6b_1;People;Population;Die Bevölkerung;;Pueblo. Nivel medio;;;;;;;;;x;
tut_6b_2;In this part we will talk a little more about what a POP is and what makes them tick. Go ahead and click the Population button in the top bar.;Cette partie est consacrée aux POP. Cliquez sur le bouton Population de la barre supérieure.;In diesem Tutorialteil werden wir BEVs und ihre Haupteigenschaften behandeln. Klicken Sie nun in der Kopfleiste auf den Bevölkerungsreiter.;;En esta sección revisaremos un poco más a fondo lo que es una población y lo que la hace reaccionar. Haz clic en el botón de Población en la barra superior.;;;;;;;;;x;
tut_6b_3;The POP;Le POP;Die BEV;;La población;;;;;;;;;x;
tut_6b_4;The most basic unit of population in Victoria 2 is the POP. A pop is a number of people in the same province that share occupation, culture and religion. Each pop has a number of attributes, which we shall now take a look at. Click the pop-icon for any of your pops to continue.;L'unité de base de la population de Victoria 2 est le POP. Un POP englobe des individus vivant dans la même province et partageant le même métier, la même culture et la même religion. Chaque POP possède des attributs sur lesquels nous allons maintenant nous pencher. Cliquez sur l'icône d'un de vos POP pour continuer.;Die grundlegende Bevölkerungseinheit in Victoria 2 ist die BEV. Eine POP steht für eine Gruppe Menschen in derselben Provinz, die demselben Beruf nachgehen und dieselbe Kultur und Religion haben. Jede POP hat eine Reihe von Eigenschaften, die wir uns nun ansehen werden. Klicken Sie zum Fortfahren auf ein beliebiges BEV-Symbol.;;La población es la unidad demográfica más básica de Victoria 2. Una población se compone de cierto número de personas en una misma provincia que comparten la misma ocupación, cultura y religión. Cada población tiene un número de atributos, que revisaremos a continuación. Haz clic en el icono de cualquiera de tus poblaciones para continuar.;;;;;;;;;x;
tut_6b_5;The POP;Le POP;Die BEV;;La población;;;;;;;;;x;
tut_6b_6;Here you get more details about these representatives of the people. Let's go over some of the basic attributes:;Vous allez ici découvrir des détails sur cette unité représentative d'une partie de la population. Principaux attributs :;Hier erhalten Sie detailliertere Informationen über diese repräsentativen Bevölkerungseinheiten. Lassen Sie uns nun einige grundlegende Eigenschaften behandeln:;;Aquí puedes obtener más detalles acerca de esos representantes populares. Revisemos algunos de los atributos básicos:;;;;;;;;;x;
tut_6b_7;Nationality - represents the pops language and culture. Some nations do not tolerate minorities which can lead to friction.;Nationalité : langue et culture du POP. Certaines nations ne tolèrent pas les minorités, ce qui peut provoquer des heurts.;Nationalität - repräsentiert die Sprache und Kultur der Bev. Einige Nationen tolerieren keine Minderheiten, da diese zu Spannungen führen können.;;Nacionalidad. Representa su idioma y cultura. Algunas naciones no toleran a las minorías que pueden causar fricciones.;;;;;;;;;x;
tut_6b_8;Militancy - How angry the pop is.;Militantisme : degré de mécontentement du POP.;Militanz - Wie wütend die Bev ist.;;Militancia. Lo enfadada que está la población.;;;;;;;;;x;
tut_6b_9;Consciousness - How aware the pop is of the world around it and its best interests.;Conscience nationale : degré de conscience du POP par rapport au monde qui l'entoure et à ses intérêts.;Bewusstsein - Wie bewusst sich die Bev ihrer Welt ist und darüber, was am besten für sie ist.;;Conciencia. Lo consciente que es la población del mundo que la rodea y de sus intereses.;;;;;;;;;x;
tut_6b_10;Literacy - How literate the pop is. This affects among other things how many research points are generated, how effective an artisan the pop is and how it behaves politically.;Alphabétisation : niveau d'alphabétisation du POP. Ce niveau détermine notamment le nombre de points de recherche générés, l'efficacité du POP et son comportement sur le plan politique.;Alphabetisierung - Wie gebildet die Bev ist. Dies beeinflusst unter anderem, wie viele Forschungspunkte generiert werden, wie effizient die Bev als Handwerker ist und wie sie sich politisch verhält.;;Alfabetización. Lo instruida que está la población. Afecta a la cantidad de puntos de investigación que se generan, la efectividad artesanal y su comportamiento político.;;;;;;;;;x;
tut_6b_11;Religion - Which religion a pop has. May cause friction if the country have a different religion.;Religion : croyance du POP. Celle-ci peut provoquer des heurts s'il ne s'agit pas de la religion dominante du pays.;Religion - Welche Religion die Bev hat. Wenn dies eine andere Religion als die Staatsreligion ist, kann es zu Konflikten kommen.;;Religión. La religión que profesa la población. Si el país tiene otra religión, se pueden producir fricciones.;;;;;;;;;x;
tut_6b_12;Unemployed - Tells us how large a part of the pop is unemployed.;Chômeurs : indique la proportion de chômeurs dans le POP.;Arbeitlos - Dies zeigt, wie groß der Arbeitslosenteil der Bev ist.;;Desempleo. Este dato nos informa del porcentaje de desempleados de la población.;;;;;;;;;x;
tut_6b_13;Needs fulfillment - How much of the pops needs for goods are fulfilled. Not being able to fulfill certain categories have different effect, no luxury needs and the pop could be happier, no life needs means starvation.;Besoins satisfaits : niveau de satisfaction des besoins du POP. L'incapacité à satisfaire certaines catégories a différents effets. Aucun besoin de luxe indique que le POP pourrait être plus heureux et Aucun besoin vital équivaut à une famine.;Bedürfniserfüllung - Wie sehr die Güterbedürfnisse der Bev gedeckt sind. Die ausbleibende Deckung verschiedener Bedürfniskategorien hat unterschiedliche Auswirkungen. Werden die Luxusbedürfnisse nicht gedeckt, ist die Bev nicht so glücklich, aber wenn ihre Lebensbedürfnisse nicht gedeckt werden, verhungert sie allmählich.;;Necesidades cubiertas. Las necesidades que están cubiertas. No ser capaz de cubrir algunas puede generar diversos efectos. Si no se cubre los lujos, la población podría ser más feliz. Si no se curen las vitales, podría producirse una hambruna.;;;;;;;;;x;
REMOVE_tut_6b_14;Now close this pop-up to continue.;Fermez cette fenêtre pour continuer.;Schließen Sie zum Fortfahren dieses Popup-Fenster.;;Ahora, cierra esta ventana para continuar.;;;;;;;;;x;
tut_6b_15;Militancy and Consciousness;Militantisme et conscience nationale;Militanz und Bewusstsein;;La militancia y la conciencia;;;;;;;;;x;
tut_6b_16;Let's say a few words about the most important attributes, militancy and consciousness;Abordons maintenant les attributs les plus importants : le militantisme et la conscience nationale.;Nun wollen wir ein paar Worte über die wichtigsten Eigenschaften sagen, die Militanz und das Bewusstsein.;;Vamos a revisar algunos aspectos de los atributos más importantes, la militancia y la conciencia.;;;;;;;;;x;
tut_6b_17;Consciousness - The primary game play effect of Consciousness, or CON, is to drive reform. As the game and the nations develop CON will increase and with it POPs will start to demand reform. If POPs get their desired reforms, CON will conversely decrease somewhat. Another important effect of increased CON is that POPs start to demand bigger needs, this has the effect that a rich dictatorship can avoid reforms by making their people richer.;Conscience nationale : son principal effet sur le jeu est qu'elle conduit à la réforme. À mesure que le jeu évolue et que les nations se développent, la conscience nationale se renforce et les POP réclament des réformes. S'ils les obtiennent, leur conscience baisse un peu. Autre effet important d'une conscience accrue : les besoins des POP augmentent. Ainsi, une dictature riche peut éviter les réformes en enrichissant encore sa population.;Bewusstsein - Der primäre Gameplay-Effekt, kurz BEW, ist der treibende Faktor hinter den Reformen. Im Spielverlauf steigt das Bewusstsein in den Nationen und Bevs beginnen, Reformen zu fordern. Wenn diese Forderungen erfüllt werden, sinkt ihr BEW wieder etwas. Ein wichtiger Effekt erhöhter BEW ist, dass die Bevs größere Bedürfnisse haben. Reiche Diktaturen können also Reformen vermeiden, indem sie ihre Bevölkerung reicher machen.;;Conciencia. El principal efecto de la Conciencia o CON es el de motivar las reformas. A medida que el juego y las naciones se desarrollen, aumentará la conciencia y con ella, las poblaciones empezarán a solicitar reformas. Si las poblaciones obtienen las reformas deseadas, la Conciencia irá disminuyendo en cierta medida. Otro efecto importante de su incremento es que las poblaciones empezarán a tener mayores necesidades. Por ejemplo, un dictador rico puede evitar las reformas si hace que su gente sea más rica.;;;;;;;;;x;
